rangeIndex,freqIndex,esperanto,esperantoAudio,english,englishTranslationSource,englishAudio,sampleUsage,sampleUsageAudio,relatedWords,relatedWordsAudio,esperantoAudioSource,rangeIndexOriginal,tags
12,22,ili,[sound:Lepticed7_ili.mp3],they,OG,[sound:hypertts-ffb1dce84d3ea7f51513623171d550a3650d81e2880850a6be2f05b2.mp3],Ili volas helpi.=They want to help.,,ilia=their,[sound:hypertts-e2ddfbc1aba7ba4d918c811983b14e67cdc722ec1ad2a4b9c8ea2122.mp3],Esperanto.cards,16,*Pronouns [DuoLingo] [kontakto] [uea/facila] Basics
13,1,mi,[sound:Lepticed7_mi.mp3],"I, me",OG,[sound:hypertts-2b2cd87bf1562b736b3ff346665fc04c9a583156e3e9ab3f3076066b.mp3],Mi estas Marko.=I am Mark.LI donis monon al mi=He gave money to me.,,mia=my,[sound:hypertts-e261754b0440467f3c1244ac53c7bd5e2409144ad6b7faf3ac13f392.mp3],Esperanto.cards,12,*Pronouns [DuoLingo] [kontakto] [uea/facila] Basics
14,30,sed,[sound:Lepticed7_sed.mp3],but,OG,[sound:hypertts-55a3d186af92c977e57c9eb36c09e3cb52690d27fbc56a17568b0e6d.mp3],"Mi ne volas kredi tion, sed ŝajnas ke estas tiel.=I don't want to believe that, but it seems that it is so.",,,,Esperanto.cards,11,*Conjunctions [DuoLingo] [kontakto] [uea/facila] Basics
17,38,se,[sound:Lepticed7_se.mp3],if,OG,[sound:hypertts-8c548a9468bc052e2ef12b0911c44210895933374b5f5554fb65ebcf.mp3],"Se mi ne dormas, mi ne povas labori bone.=If I do not sleep, I cannot work well.",,,,Esperanto.cards,23,*Conjunctions [DuoLingo] [kontakto] [uea/facila] Basics
19,29,kun,[sound:Lepticed7_kun.mp3],with,OG,[sound:hypertts-cdab3bc77835a8b1ae2a54c14b98992e0922c7e0bca43fbb070c019b.mp3],Mi laboras kun Sofia.=I am working with Sophia.,,"kune=together,kuniri=to go with, to accompany",[sound:hypertts-591a724b17ac59d729918b07f35671adda7508b49fc3c49dc6394fb5.mp3],Esperanto.cards,14,*Prepositions [DuoLingo] [kontakto] [uea/facila] Basics
20,35,nu,[sound:Lepticed7_nu.mp3],"well, well then, now",OG,[sound:hypertts-be743398a757e07ac88e5eb65c4666bdbfd95ec032bdebd96d04d8d4.mp3],"Nu, kion vi diros al tio?=Well, what will you say to that?",,,,Esperanto.cards,99,*Interjections [DuoLingo] [kontakto] [uea/facila] Expressions
21,26,pri,[sound:Lepticed7_pri.mp3],about (a topic),OG,[sound:hypertts-b69b0ee506ef73212dee3ec091b34866e6e33228deaa6f6f358ac627.mp3],Pri kio vi parolas?=What are you talking about?,,"temi=to be about, to be on the topic of,priparoli=to talk about",[sound:hypertts-25f22ec3c194dcad984aee00aac241e6adb09117add26f82104a34e6.mp3],Esperanto.cards,19,*Prepositions [DuoLingo] [kontakto] [uea/facila] Basics
23,12,ke,[sound:Lepticed7_ke.mp3],that,OG,[sound:hypertts-45487a367aeb7a2850e443b50cf30e09f6f76947736b81b6035978a6.mp3],Mi sentas ke ni iam ajn denove renkontiĝos.=I feel that we will meet again some time.,,,,Esperanto.cards,18,*Conjunctions [DuoLingo] [kontakto] [uea/facila] Basics
24,27,tie,[sound:Lepticed7_tie.mp3],there,OG,[sound:hypertts-91c0c432b44503e30f0d747993638a712fb76c260b9a27d98bf04b24.mp3],Kiu estas tie?=Who is there?,,,,Esperanto.cards,21,[DuoLingo] [kontakto]
25,33,povas,[sound:povas_eo_ll.mp3],can,ChatGPT,[sound:hypertts-d2ffa4f329248509ec376606c47bc822017aff93fc96d51e11fb0d76.mp3],,,,,Lingua Libre,8,"""#OpenSubtitles"""
26,14,li,[sound:Lepticed7_li.mp3],he,OG,[sound:hypertts-81c94090f9033c1051d477cafe9612a582d6cd6373f038efb2cb4a3f.mp3],Li amas vin.=He loves you.,,lia=his,[sound:hypertts-4e2e79a40924cdd23c1a089861c1116ef27ee7330afa333b5b32f7fc.mp3],Esperanto.cards,28,*Pronouns [DuoLingo] [kontakto] [uea/facila] Basics
27,37,havas,[sound:havas_eo_ll.mp3],have,ChatGPT,[sound:hypertts-51df99fefd4549e16e7e43e6dcb115ea819da1a64ff297bc77b1bde0.mp3],,,,,Lingua Libre,10,"""#OpenSubtitles"""
28,21,estis,[sound:estis_eo_ll.mp3],was,ChatGPT,[sound:hypertts-11fe69d34e4a95b0607e60870da7012ce2ba40f27e924dfa9ff2d66e.mp3],,,,,Lingua Libre,12,"""#OpenSubtitles"""
29,25,pli,[sound:Lepticed7_pli.mp3],more,OG,[sound:hypertts-afebe89ec003695310bb2894c0646e94a0c97b53d71fd7bf799c9eb0.mp3],Mi ŝatas kafon pli ol vinon.=I like coffee more than wine.Vi estas pli bela ol ŝi=You are more beautiful than she.,,malpli=less,[sound:hypertts-c91649681162554e4e0b670c70d0bfed072615779a592cbe827e2b86.mp3],Esperanto.cards,30,*Prepositions [DuoLingo] [kontakto] [uea/facila] Basics
30,32,bone,[sound:Lepticed7_bone.mp3],well; okay,OG,[sound:hypertts-91ea17d223f84f1f6be36c313c59fbaa8eee5bb9800093c4a66b0f93.mp3],"Mi fartas bone.=I am doing well.Bone, mi komprenas.=Okay, I understand.",,"bona=good, okay, nice,malbona=bad, poor",[sound:hypertts-fc6578cc820731b115b1f682e31be578bdae610936d282ef268022f2.mp3],Esperanto.cards,31,*Adverbs [DuoLingo] [false-friends]
31,18,via,[sound:Lepticed7_via.mp3],"your, yours",OG,[sound:hypertts-f36dc16553d5443efde603b3ba758f7a278f346d5dc2282ea0afdbc0.mp3],Mia hejmo estas via hejmo!=My home is your home!,,,,Esperanto.cards,48,*Pronouns::Possessives [DuoLingo] [false-friends] People
32,23,mia,[sound:Lepticed7_mia.mp3],"my, mine",OG,[sound:hypertts-b31505363ce5aa6f2185f71c91bea885f69011cd89ce5bbbf4c994f9.mp3],Mia hejmo estas via hejmo!=My home is your home!,,,,Esperanto.cards,39,*Pronouns::Possessives [DuoLingo] People
33,40,volas,[sound:volas_eo_ll.mp3],want,ChatGPT,[sound:hypertts-58c5e1a7f2c79c33586acdf29c285f177f798099fe9ea6882f27fa64.mp3],,,,,Lingua Libre,9,"""#OpenSubtitles"""
35,42,nur,[sound:Lepticed7_nur.mp3],only,OG,[sound:hypertts-495d805ccf526c4d31fc5a81003aa89b914eeb5f93d0b9ab7a46dd17.mp3],La radio kostas nur dek dolarojn.=The radio costs only ten dollars.,,,,Esperanto.cards,34,*Particles [DuoLingo] [kontakto] [uea/facila] Basics
36,47,el,[sound:Lepticed7_el.mp3],"from, out of",OG,[sound:hypertts-50bee76a814efec24b867cd84505c4a002bfb66e17f7d53f2290051c.mp3],Mi venas el Usono.=I come from the United States.La lampo estas el vitro=The lamp is made of glass,,,,Esperanto.cards,35,*Prepositions [DuoLingo] [kontakto] [uea/facila] Places
37,48,sur,[sound:Lepticed7_sur.mp3],"on, upon",OG,[sound:hypertts-e96b717225de23b05ba44b6f69ab278d8e79dd149208e284fcd45e7d.mp3],Ne estas butero sur mia pano.=There is no butter on my bread.Metu la trinkaĵojn sur la tablon!=Put the drinks onto the table!,,,,Esperanto.cards,36,*Prepositions [DuoLingo] [kontakto] [uea/facila] Basics
38,52,devas,[sound:devas_eo_ll.mp3],must,ChatGPT,[sound:hypertts-17c1894517fedd0cad9d801488eb9167f87dc1833c1cc50ea230ba34.mp3],,,,,Lingua Libre,16,"""#OpenSubtitles"""
39,50,bona,[sound:Lepticed7_bona.mp3],"good, okay, nice",OG,[sound:hypertts-97163eaa1f2a8a94c7a083258acd27eb67cc2e656e4d78f2c190be4c.mp3],Ĉu la vetero en Londono estas bona?=Is the weather in London good?,,,,Esperanto.cards,68,*Adjectives [DuoLingo] [kontakto] [uea/facila]
40,45,esti,[sound:Lepticed7_esti.mp3],to be,OG,[sound:hypertts-0db3c18661c39601fa8db3adfaf152df7a77fe523e8218788bb15642.mp3],Ĉu vi estas instruisto?=Are you a teacher?Karoto povas esti blanka.=A carrot can be white.,,,,Esperanto.cards,38,*Verbs [DuoLingo] [kontakto] [uea/facila] Basics
42,36,scias,[sound:scias_eo_ll.mp3],know,ChatGPT,[sound:hypertts-72874058aa87cb27d03d2d209ad6ea11d0f6e529780f2447aa07c6fc.mp3],,,,,Lingua Libre,7,"""#OpenSubtitles"""
43,41,do,[sound:Lepticed7_do.mp3],so,OG,[sound:hypertts-1d207060ed97ce060dca7f3cc8151ec606fe6c1f768e33baf1f63fa2.mp3],"Do, kion vi bezonis?=So, what did you need?",,,,Esperanto.cards,43,*Conjunctions [DuoLingo] [kontakto] [uea/facila] Basics
44,64,alia,[sound:Lepticed7_alia.mp3],other; another; different,OG,[sound:hypertts-a6454a3559a8fc0be05ad885293e312b6c118bd88920647905c2aa0e.mp3],Li nun havas alian adreson.=He now has a different adress.,,"aliulo=somebody else,alie=elsewhere",[sound:hypertts-ea7e216e87b4905230f6d5cbec9e80216c9c036ac719eb12258d70e3.mp3],Esperanto.cards,107,*Adjectives [DuoLingo] [kontakto] [uea/facila]
48,53,da,[sound:Lepticed7_da.mp3],of,OG,[sound:hypertts-eaa7382bd6c0025be405bbd79a6f61fe4e65b5c895deedf5c241cb26.mp3],unu litro da vino=one litre of wineLa infano trinkas tri glasojn da akvo.=The child drinks three glasses of water.,,,,Esperanto.cards,46,*Prepositions [DuoLingo] [kontakto] [uea/facila] Basics Numbers+Units
50,7,ĉi,[sound:Lepticed7_ĉi.mp3],"here, this (denotes proximity)",OG,[sound:hypertts-ad877615f02321401a3665581add5d3c4d1fb98bc7165582887f8f06.mp3],ĉi tie=here (tie,,,,Esperanto.cards,51,*Particles [DuoLingo] [kontakto] [uea/facila] Basics
51,15,ĝi,[sound:Lepticed7_ĝi.mp3],it,OG,[sound:hypertts-9acbf5992d5238694fd8b4cf2270654b91da9a00bc4f5d123625b6ec.mp3],Ĝi ne interesas min.=It doesn't interest me.,,,,Esperanto.cards,53,*Pronouns [DuoLingo] [kontakto] [uea/facila] Basics
52,62,fari,[sound:Lepticed7_fari.mp3],"to do, to make",OG,[sound:hypertts-08044280c6d13b403a6ba90df70866e1061482e79d6db00ac0a0b536.mp3],"Mi povas fari kafon.=I can make coffee.Kion vi faros, kiam vi vidos la krokodilon?=What will you do when you see the crocodile?",,,,Esperanto.cards,52,*Verbs [DuoLingo] [kontakto] [uea/facila] Basics
53,16,ĉu,[sound:Lepticed7_ĉu.mp3],whether; <start of an either-or question>,OG,[sound:hypertts-a365a1f88a48d56190f3bf1ecf109f19487f6878a2c3e1853eb92e11.mp3],Ĉu vi ŝatas lin?=Do you like him?,,,,Esperanto.cards,54,*Particles [DuoLingo] [kontakto] [uea/facila] Basics
54,34,jes,[sound:Lepticed7_jes.mp3],yes,OG,[sound:hypertts-dee872222abe36bab8e73045ff7f28ab3beb3ee0c4615b3bec8f6c50.mp3],"Jes, vi pravas.=Yes, you're right.",,,,Esperanto.cards,55,*Morphemes [DuoLingo] [kontakto] [uea/facila] Basics
55,83,tempo,[sound:Lepticed7_tempo.mp3],time,OG,[sound:hypertts-803068009df5590925ca42e3ac6872956fd7973236c407d55b3b5c40.mp3],Ni respondos kiam ni havos tempon.=We will respond when we have time.,,"nuntempe=currently, nowadays",[sound:hypertts-690fcf7abd15374ea84429dbe5017cd64b013d284a43fb6df0a6f45e.mp3],Esperanto.cards,80,*Nouns [DuoLingo] [kontakto] [uea/facila] Dates+Time+Events
57,70,eble,[sound:Lepticed7_eble.mp3],"maybe, perhaps, possibly",OG,[sound:hypertts-a3c44aac6bc545c7d1c418e4c44d672aa32bc18f027d4787bb6f7555.mp3],"Ne estas eble!=It is not possible!Estis eble ŝlosi la pordon, sed ŝi ne faris tion.=It was possible to lock the door, but she did not do that.",,,,Esperanto.cards,57,*Adverbs Words-w-Affixes
59,89,ol,[sound:Lepticed7_ol.mp3],than,OG,[sound:hypertts-7f2efee8167cec2acdc81770e91805e1f6232ec146e6e18c0a9d4f61.mp3],Mi ŝatas kafon pli ol vinon.=I like coffee more than wine.,,,,Esperanto.cards,59,*Prepositions [DuoLingo] [kontakto] [uea/facila] Basics
60,84,estos,[sound:estos_eo_ll.mp3],will be,ChatGPT,[sound:hypertts-7df53f9305ab389e1a6a7cb55f589c714b003179308de2a157114c81.mp3],,,,,Lingua Libre,20,"""#OpenSubtitles"""
61,71,plej,[sound:Lepticed7_plej.mp3],most,OG,[sound:hypertts-68bdb0267def8acae6e2f7f3dddc745fe905fd3a4b8a4188bf2087b8.mp3],"granda, pli granda, la plej granda=big, bigger, the biggestInter ni ses, ŝi estas la plej laborema.=Between us six, she is the most diligent.",,"plejmulto=majority,plejparte=mostly",[sound:hypertts-682659303d2df5abd15dcea5c0f9c7362ccd0aef0f1ebdd4346132ca.mp3],Esperanto.cards,61,*Conjunctions [DuoLingo] [kontakto] [uea/facila] Basics
61,59,afero,[sound:Lepticed7_afero.mp3],"thing, matter, affair",OG,[sound:hypertts-0b7955743681be6cd4af34b05e6b15c21b42c7ded8cfb7986f6fb7f2.mp3],Mi ne komprenas la aferon.=I don't understand the matter.,,,,Esperanto.cards,118,*Nouns [DuoLingo] [false-friends] [kontakto] [uea/facila] DailyLife
63,81,dum,[sound:Lepticed7_dum.mp3],"during, while, whereas",OG,[sound:hypertts-a68e205327c04ac7152aea8b2b10a50341e69d874ea47339bbd3f9c9.mp3],"Mi studis dum tri horoj senhalte.=I studied for three hours without stopping.Dum mi estis ekstere, iu ŝtelis mian libron.=While I was outside, somebody stole my book.",,"dume=meanwhile,dumviva=life-long",[sound:hypertts-1be1902c9b3e59c0d4400104951a278702301ae2c77b84e8afebdeda.mp3],Esperanto.cards,62,*Prepositions [DuoLingo] [kontakto] [uea/facila] Basics
64,77,faras,[sound:faras_eo_ll.mp3],does,ChatGPT,[sound:hypertts-4bf34372483d90c5ac67f8dc32ce47408483a5da0ff2643dc25ea9b6.mp3],,,,,Lingua Libre,11,"""#OpenSubtitles"""
65,66,nia,[sound:Lepticed7_nia.mp3],"our, ours",OG,[sound:hypertts-2418ec55b442a99d4bfcb9a2681a45776b116fc82a7a414b0ff60cb9.mp3],En nia hejmo estas granda mapo.=In our home there is a big map.,,,,Esperanto.cards,113,*Pronouns::Possessives [DuoLingo] Basics
66,76,je,[sound:Lepticed7_je.mp3],indefinite preposition (use when the others don't fit),OG,[sound:hypertts-d536193422a2d613abb0333fc6387a2fb95770e1440e29c754c588dc.mp3],"""""""je la sepa horo=at 7 o'clockJe via sano!=To your health!ili iros je la tria de majo=they'll go on the third of May(in the above examples, """"""""at"""""""", """"""""to"""""""" and """"""""on"""""""" are not literally true, so we use je)=undefined""""""",,,,Esperanto.cards,160,*Prepositions [DuoLingo] [kontakto] [uea/facila] Basics
67,57,homo,[sound:Lepticed7_homo.mp3],"human, person",OG,,Mi estas homo.=I am a person.,,homaro=mankind,[sound:hypertts-cc4b84f54152368b2043405d827c3e50649663cd5d45e22f7f42f8bf.mp3],Esperanto.cards,576,*Nouns [DuoLingo] [kontakto] [uea/facila] People
68,56,diris,[sound:diris_eo_ll.mp3],said,ChatGPT,[sound:hypertts-1e3c7cd3ddbea3cb428a793ff32861f1997826615919846956edbf7a.mp3],,,,,Lingua Libre,7,"""#OpenSubtitles"""
70,54,pensas,[sound:pensas_eo_ll.mp3],think,ChatGPT,[sound:hypertts-cca034ddd81b078d0d4c4234fc58d6f34234af9cfda7b99c7a4b208b.mp3],,,,,Lingua Libre,11,"""#OpenSubtitles"""
71,71,tiuj,[sound:tiuj_eo_ll.mp3],those,ESPDIC,[sound:hypertts-0e485a2198d8e777bfc481ef8b126bc195e67c1e1edba95293457feb.mp3],,,,,Lingua Libre,13,"""#OpenSubtitles"""
72,67,tre,[sound:Lepticed7_tre.mp3],very,OG,[sound:hypertts-d2a121654ae588a8971847989f685e05536c3bd3613eff6c9cde406c.mp3],Li estas tre feliĉa.=He is very happy.,,,,Esperanto.cards,70,*Particles [DuoLingo] [kontakto] [uea/facila] Basics
73,79,faris,[sound:faris_eo_ll.mp3],did,ChatGPT,[sound:hypertts-f7278f2aa3925d694f6c91d732eb68bce3a32f0313e8a26050142e03.mp3],,,,,Lingua Libre,3,"""#OpenSubtitles"""
74,43,aŭ,[sound:Lepticed7_aŭ.mp3],or,OG,[sound:hypertts-07940f80b2b2018d3e7895b6cd4415a4cea45a9bda24fe62cead9ddd.mp3],Ĉu vi volas kafon aŭ teon?=Do you want coffee or tea?,,"aŭ ... aŭ ...=either ... or,... nek ... nek ...=neither ... nor ...",[sound:hypertts-c4a8e0bc0cdac8cd71c90ebe5fcc03bb985ae25671c4b3d2a68403ad.mp3],Esperanto.cards,74,*Conjunctions [DuoLingo] [kontakto] [uea/facila] Basics
75,97,diras,[sound:diras_eo_ll.mp3],says,ChatGPT,[sound:hypertts-64310351e7c80e264f3978db7fd514e4fdf4c48ecccabc1e135b6b4a.mp3],,,,,Lingua Libre,24,"""#OpenSubtitles"""
76,68,sia,[sound:Lepticed7_sia.mp3],"its, their, his; her",OG,[sound:hypertts-2732b01387657e915a125dcbd7278de1ae3fe4740c26edd08803f9e5.mp3],Ŝi dancas en sia ĉambro.=She dances in her room.Mia frato vizitas nin kun siaj edzo kaj infanoj.=My brother is visiting us with his husband and children.,,,,Esperanto.cards,198,*Pronouns::Possessives [DuoLingo] Basics
77,87,povus,[sound:povus_eo_ll.mp3],could,ChatGPT,[sound:hypertts-243c833e2ae960bc6e7b57eaa369e1f0cec8ddc122fad896a44e7a90.mp3],,,,,Lingua Libre,8,"""#OpenSubtitles"""
78,93,diri,[sound:Lepticed7_diri.mp3],to say,OG,[sound:hypertts-0c46c92930f31e879fabc57db4875fdfa84d0815b569e6698537e60a.mp3],"Ili diras, ke vi estas bela.=They say, that you are beautiful.",,,,Esperanto.cards,79,*Verbs [DuoLingo] [kontakto] [uea/facila] Communication+Language
79,86,granda,[sound:Lepticed7_granda.mp3],"large, great, big",OG,[sound:hypertts-fc244f370cc04481dbc91fe0d4ac84014be684cc7f612f71fbc350b1.mp3],Ŝi loĝas en granda urbo.=She lives in a big city.,,"malgranda=small,grandeco=size",[sound:hypertts-365d4fc62e5d0601071af983c86dda3b27fbe36a9353f21c7d574f0f.mp3],Esperanto.cards,122,*Adjectives [DuoLingo] [kontakto] [uea/facila]
80,69,vere,[sound:Lepticed7_vere.mp3],"truly, really",OG,[sound:hypertts-ec842b9e464438f67f7fbc7615c9cac312f32236211d0913f3d590cc.mp3],Tio estas vere bela.=That is really beautiful.,,,,Esperanto.cards,81,*Adverbs [DuoLingo]
81,94,ankaŭ,[sound:Lepticed7_ankaŭ.mp3],"also, too",OG,[sound:hypertts-3352768e41b9c02674aae7fce7bb064730dc2810c98bc75d5aba75cf.mp3],Ĉu vi ankaŭ volas teon?=Do you also want tea?,,,,Esperanto.cards,82,*Conjunctions [DuoLingo] [kontakto] [uea/facila] Basics
82,95,a,[sound:a_eo_ll.mp3],a,ChatGPT,,,,,,Lingua Libre,376,"""#OpenSubtitles"""
83,90,bezonas,[sound:bezonas_eo_ll.mp3],need,ChatGPT,[sound:hypertts-d4d84bec6fbeea050e6af0dec19475498e16654fb787ea155cfbf137.mp3],,,,,Lingua Libre,8,"""#OpenSubtitles"""
84,106,tago,[sound:Lepticed7_tago.mp3],day,OG,[sound:hypertts-ba772f9e40425a667afca382612bc75790daa4e91fb72643672bf734.mp3],Ĉu la tago estas varma?=Is the day hot?,,tagmezo=noon; midday,[sound:hypertts-73d328079f32067ddb6dd6886ca275a1353acf035123f99b50d6d431.mp3],Esperanto.cards,206,*Nouns [DuoLingo] [kontakto] [uea/facila] Dates+Time+Events
85,107,pro,[sound:Lepticed7_pro.mp3],"because of, for",OG,[sound:hypertts-ba1e82b7e4576a119c504bfedda70798d1150c4c2e46f3acbcbe5652.mp3],"Pro la malbona vetero, ni ne povas iri al restoracio.=Because of the bad weather, we cannot go to a restaurant.",,,,Esperanto.cards,84,*Prepositions [DuoLingo] [kontakto] [uea/facila] Basics
86,82,havis,[sound:havis_eo_ll.mp3],had,ChatGPT,[sound:hypertts-66223c40cabcd67b1010de7d5d344d4cc3bac38ef8f1f1af31b8859c.mp3],,,,,Lingua Libre,6,"""#OpenSubtitles"""
88,72,ĉar,[sound:Lepticed7_ĉar.mp3],because,OG,[sound:hypertts-f41cbd84325f91e1255a5f2f417b8f3dfac43856080b9e99382e5635.mp3],"Mi estas feliĉa, ĉar mi ne laboras hodiaŭ.=I am happy, because I do not work today.",,,,Esperanto.cards,88,*Conjunctions [DuoLingo] [kontakto] [uea/facila] Basics
89,31,ŝi,[sound:Lepticed7_ŝi.mp3],she,OG,[sound:hypertts-d3b9f3ad742a9a511def970915a2db50c8b6db0c08b9024ed738b711.mp3],Ŝi estas virino.=She is a woman.Kiu estas ŝi?=Who is she?,,ŝia=hers,[sound:hypertts-720b003863859aae41c2fc77f77b60bf7c7d9d276f9ac551eb39749f.mp3],Esperanto.cards,95,*Pronouns [DuoLingo] [kontakto] [uea/facila] Basics
92,103,devus,[sound:devus_eo_ll.mp3],should,ChatGPT,[sound:hypertts-ad52a52016eb8ec46dccef2ff6cf58cb16a1bc860b088b3756816f3a.mp3],,,,,Lingua Libre,13,"""#OpenSubtitles"""
94,60,ĝuste,[sound:Lepticed7_ĝuste.mp3],"correctly, exactly, precisely",OG,[sound:hypertts-a2495714f28d6dda7681a678143423164ca36cc830d54e02105026a3.mp3],Vi ĝuste respondis.=You answered correctly.Ĝuste!=Exactly!,,,,Esperanto.cards,96,*Adverbs [DuoLingo]
95,102,ĉe,[sound:Lepticed7_ĉe.mp3],at,OG,[sound:hypertts-52525de2cdca7aec75647eb0a01bc348d2b51dbbe56210d21625be10.mp3],"Ĉe Marko, ĉio estas en ordo.=At Mark's place, everything is in order.",,ĉeesti=to be present,[sound:hypertts-c0eb80486de148a333b3959a510470403c09e93a029a41f26df27049.mp3],Esperanto.cards,98,*Prepositions [DuoLingo] [kontakto] [uea/facila] Basics
96,58,ĝis,[sound:Lepticed7_ĝis.mp3],"until, as far as",OG,[sound:hypertts-73e0889b0b0098eacad01ce1e5cff2f7bc5b07b4f654b567802284b7.mp3],Ĝis morgaŭ!=Until tomorrow! (See you tomorrow!)Ĝis baldaŭ!=See you soon!Mi vojaĝas tra Germanio ĝis Pollando.=I travel through Germany as far as Poland.,,,,Esperanto.cards,100,*Prepositions [DuoLingo] [kontakto] [uea/facila] Basics
97,111,estus,[sound:estus_eo_ll.mp3],would be,ChatGPT,[sound:hypertts-41215f8555bf2b35316b76de83b1d689a1df7599abd286a773a9de77.mp3],,,,,Lingua Libre,13,"""#OpenSubtitles"""
98,110,eĉ,[sound:Lepticed7_eĉ.mp3],even,OG,[sound:hypertts-b3c8b761b3b6293d2be361a5f006550343f70bbd6abdb74470f5bac9.mp3],Eĉ mi povas lerni ĉi tiun lingvon.=Even I can learn this language.,,,,Esperanto.cards,102,*Conjunctions [DuoLingo] [kontakto] [uea/facila] Basics
99,114,ankoraŭ,[sound:Lepticed7_ankoraŭ.mp3],still,OG,[sound:hypertts-c2da2f4c58a7d22f6dfe4ba37fd05e7df6b78a1cdf03afb5087d6125.mp3],Ĉu vi estas ankoraŭ tie?=Are you still there?,,,,Esperanto.cards,103,*Conjunctions [DuoLingo] [kontakto] [uea/facila] Basics
100,80,lia,[sound:Lepticed7_lia.mp3],his,OG,[sound:hypertts-93bb215464fed2b654cd1361c85cfe857be4741c209c30678e61ab9b.mp3],Mi estas lia patro.=I am his father.,,,,Esperanto.cards,144,*Pronouns::Possessives [DuoLingo] People
101,123,iri,[sound:Lepticed7_iri.mp3],to go,OG,[sound:hypertts-632f64ea9c5219073188716c58964c125be5b62a819646f942f6c0ed.mp3],"Kien vi iros, ankaŭ mi iros.=Where you go, I will go too.",,"foriri=to leave; to go away (for-iri),eniri=enter, to go in (en-iri),eliri=exit, to go out (el-iri),la eliro=the exit",[sound:hypertts-20d42d8ee3fdfa85b8777048b24117627717bdc04fda956660918fbe.mp3],Esperanto.cards,106,*Verbs [DuoLingo] [kontakto] [uea/facila] Travel
